dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Miscellaneous - fishing,938,66,1994,1989,1997,1997,1276297384,675076558,249,2032,1677,1396,953,71552
Service - tug,5322,134,1979,1987,1988,1988,635012052,439427588,98,504,333,384,1596,119803
Service - other,1109,51,1988,1991,1981,1981,1927336857,883141830,263,739,589,599,1663,125274
Oil tanker,715,102,2008,2009,2013,2013,13469520019,23365663627,165,455,485,488,2552,190547
Vehicle,25,23,2007,2008,2000,2001,194004805,61190663,85,122,134,131,15,1127
Container,573,175,2003,2006,2006,2006,13001368849,14417072102,622,406,477,483,1909,143391
Cruise,883,78,2000,2000,2002,2001,13152622845,1401523692,233,271,338,337,3157,237221
Bulk carrier,6051,631,1997,2008,2001,2001,37317709935,60784165781,203,304,272,277,4868,365954
Offshore,83,16,2001,2002,2011,2010,316604758,299222431,328,2510,748,522,281,21122
General cargo,1220,182,2005,2007,2006,2006,5548609371,7767217815,240,374,396,385,1553,117197
Chemical tanker,2472,246,2006,2009,2007,2007,12218394408,18911086085,263,399,385,390,4377,328481
Ferry-pax only,63,9,1968,1973,1965,1970,40436917,11153153,180,1117,674,973,70,5229
Ferry-RoPax,2843,54,2000,1994,2001,2000,16744062621,3324177360,123,5092,335,265,5381,399582
Ro-Ro,1807,10,2005,1993,2001,2000,5189551299,3738929388,82,369,412,416,1565,112405
Miscellaneous - other,24,1,1989,1989,1989,1989,53473805,14408911,296,296,345,345,19,1422
