int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Service - tug,57,32,1996,1995,1991,1992,53164085,36068782,260,2841,1476,1330,116,8721
Chemical tanker,151,97,2006,2007,2007,2007,2217026476,3581588979,754,968,958,963,521,40237
General cargo,814,399,1992,1996,1996,1997,2990378615,3932703023,808,971,977,961,785,59893
Bulk carrier,330,103,1981,2003,2007,2008,4456999824,7928403262,269,1262,1394,1427,435,33514
Ferry-pax only,115,28,1993,1993,1996,1992,159761753,25929334,382,9565,3513,2897,246,18434
Container,365,84,2007,2006,2009,2008,6240333214,6786348928,173,449,411,411,822,63447
Ro-Ro,5,5,1999,1999,2012,2013,54780838,46774933,160,331,592,628,11,821
Miscellaneous - fishing,36,36,1989,1989,1987,1986,24453134,16926726,1256,4316,3841,3972,112,8391
Cruise,458,72,2001,2001,2001,2001,8472981567,885315983,229,346,354,355,2300,177945
Oil tanker,105,79,2007,2007,2008,2008,9332818680,17417817933,957,1384,1439,1445,807,62533
Ferry-RoPax,328,43,1981,1994,1993,1995,2448074722,607749552,131,7489,564,861,927,70465
Service - other,14,12,1988,1991,1988,1986,48170491,50551686,779,3285,807,590,48,3636
Liquefied gas tanker,16,9,2001,1999,2003,2003,115500993,135252882,1163,1033,1033,1030,43,3256
Refrigerated bulk,6,6,1998,1998,1989,1989,77312031,90233278,1167,1277,1641,1671,69,5177
Offshore,18,7,2008,2006,2012,2013,18745426,9607176,1162,1318,1272,1149,59,4452
