Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Ferry-pax only,1134,28,665,78,1997,1993,1996,1994,642,1354,1270,1219,29,62,277,336,19,67,117,123,731.1,54891,55945,6431027,13097389,16498662,5671,13188,17386
Miscellaneous - fishing,1123,35,121,78,1991,1988,1991,1990,163,744,595,569,30,76,403,435,21,82,236,236,474.6,35634,36318,550710,1221581,1388814,490,1154,1368
Ferry-RoPax,693,39,4224,1112,1996,1994,1996,1995,546,1886,1566,2009,39,228,729,963,23,63,280,437,2018.0,152564,155493,10893215,25432886,32285337,15719,34241,39244
Cruise,364,46,1752,201,2000,2000,2004,2004,225,206,213,219,18,19,26,32,9,18,15,21,594.7,45512,46386,1633572,5028857,5976842,4488,13135,15122
Chemical tanker,362,39,528,806,2005,2007,2006,2006,208,317,288,289,21,37,38,38,20,28,26,26,239.2,18304,18656,1233272,3539809,4305729,3407,11416,13977
General cargo,300,115,542,662,1985,1992,1990,1994,398,525,670,602,30,43,225,118,32,56,136,100,194.8,14743,15026,1415762,4123088,5868659,4719,16745,23131
Service - tug,219,22,30,22,1993,1992,1989,1990,207,454,584,628,51,229,807,572,31,85,537,655,132.1,9915,10106,554679,1311650,1756228,2533,6540,8830
Bulk carrier,175,22,271,413,1981,1988,1988,1989,382,411,493,490,23,31,100,96,21,53,50,49,81.0,6197,6316,685600,1562834,1886359,3918,11990,14945
Service - other,110,7,57,40,1999,1993,2004,2010,362,618,1011,1324,34,406,311,310,34,31,238,266,98.0,7361,7502,277149,568650,612755,2520,5606,6330
Container,52,18,186,219,2005,2004,2004,2004,274,242,216,222,16,15,17,17,11,12,13,13,36.3,2793,2847,302335,882779,998248,5814,17793,20704
Liquefied gas tanker,5,1,10,12,1991,1991,1991,1991,92,92,665,665,12,12,303,303,5,5,107,107,5.4,406,414,9089,26333,29080,1818,9952,13088
Refrigerated bulk,3,2,8,8,2007,2009,2011,2011,299,692,573,561,26,38,43,42,242,185,203,202,8.7,658,671,24728,54032,60862,8243,17565,18965
Oil tanker,2,2,17,30,2006,2006,2006,2006,196,196,198,198,12,12,12,12,16,16,12,12,1.4,106,108,18200,40371,44903,9100,24381,29626
